strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,404,168.3876,0,-0.2270,52.2434,1
AlwaysLong,405,168.0053,0,0.2947,52.5381,1
AlwaysLong,406,168.5005,0,-0.5234,52.0147,1
AlwaysLong,407,167.6186,0,-0.0583,51.9565,1
AlwaysLong,408,167.5209,0,0.0701,52.0265,1
AlwaysLong,409,167.6383,0,0.2546,52.2811,1
AlwaysLong,410,168.0651,0,0.3351,52.6162,1
AlwaysLong,411,168.6283,0,-0.5539,52.0624,1
AlwaysLong,412,167.6944,0,-0.7244,51.3380,1
AlwaysLong,413,166.4796,0,0.6579,51.9959,1
AlwaysLong,414,167.5749,0,0.1696,52.1656,1
AlwaysLong,415,167.8592,0,-0.3542,51.8113,1
AlwaysLong,416,167.2646,0,0.7622,52.5735,1
AlwaysLong,417,168.5395,0,0.0372,52.6108,1
AlwaysLong,418,168.6022,0,0.5400,53.1508,1
AlwaysLong,419,169.5127,0,-0.0144,53.1364,1
AlwaysLong,420,169.4883,0,0.9271,54.0635,1
AlwaysLong,421,171.0597,0,0.7298,54.7933,1
AlwaysLong,422,172.3081,0,-0.2422,54.5511,1
AlwaysLong,423,171.8907,0,0.3374,54.8885,1
AlwaysLong,424,172.4706,0,0.1681,55.0566,1
AlwaysLong,425,172.7606,0,0.4944,55.5509,1
AlwaysLong,426,173.6146,0,-0.6080,54.9430,1
AlwaysLong,427,172.5592,0,0.1843,55.1273,1
AlwaysLong,428,172.8772,0,0.3471,55.4744,1
AlwaysLong,429,173.4773,0,-0.9705,54.5039,1
AlwaysLong,430,171.7936,0,-0.6631,53.8408,1
AlwaysLong,431,170.6545,0,-1.0354,52.8054,1
AlwaysLong,432,168.8876,0,-0.1556,52.6499,1
AlwaysLong,433,168.6248,0,0.3202,52.9701,1
AlwaysLong,434,169.1648,0,0.6744,53.6445,1
AlwaysLong,435,170.3056,0,-0.0345,53.6099,1
AlwaysLong,436,170.2468,0,0.6977,54.3076,1
AlwaysLong,437,171.4345,0,-0.7458,53.5617,1
AlwaysLong,438,170.1559,0,-0.8659,52.6959,1
AlwaysLong,439,168.6826,0,-0.0482,52.6476,1
AlwaysLong,440,168.6012,0,0.1627,52.8104,1
AlwaysLong,441,168.8756,0,-0.0431,52.7673,1
AlwaysLong,442,168.8028,0,-1.0053,51.7620,1
AlwaysLong,443,167.1059,0,-0.0176,51.7444,1
AlwaysLong,444,167.0765,0,-0.5987,51.1458,1
AlwaysLong,445,166.0763,0,0.3788,51.5246,1
AlwaysLong,446,166.7054,0,0.2131,51.7376,1
AlwaysLong,447,167.0606,0,-0.4237,51.3140,1
AlwaysLong,448,166.3528,0,-0.1993,51.1147,1
AlwaysLong,449,166.0213,0,-0.4525,50.6622,1
AlwaysLong,450,165.2700,0,0.0505,50.7127,1
AlwaysLong,451,165.3536,0,0.5404,51.2531,1
AlwaysLong,452,166.2472,0,-0.4233,50.8298,1
AlwaysLong,453,165.5434,0,0.3161,51.1459,1
AlwaysLong,454,166.0667,0,-0.1989,50.9470,1
AlwaysLong,455,165.7363,0,-0.3161,50.6308,1
AlwaysLong,456,165.2124,0,0.0308,50.6617,1
AlwaysLong,457,165.2633,0,-0.4200,50.2416,1
AlwaysLong,458,164.5691,0,-0.1666,50.0750,1
AlwaysLong,459,164.2949,0,-0.4722,49.6028,1
AlwaysLong,460,163.5191,0,1.0965,50.6993,1
AlwaysLong,461,165.3121,0,0.0967,50.7959,1
AlwaysLong,462,165.4719,0,-0.2636,50.5323,1
AlwaysLong,463,165.0357,0,0.1918,50.7242,1
AlwaysLong,464,165.3522,0,0.0240,50.7482,1
AlwaysLong,465,165.3919,0,-0.0297,50.7184,1
AlwaysLong,466,165.3428,0,0.3758,51.0942,1
AlwaysLong,467,165.9641,0,0.4248,51.5190,1
AlwaysLong,468,166.6691,0,-0.2164,51.3026,1
